local,test_date,month_official,house_type,participation,mosquito_species,total_exposed,total_mortality_24,total_mortality_rate_24
Magude,17/11/2017,M1,mud,exposure,an gambiae,40,40,100
Magude,17/11/2017,M1,mud,exposure,an gambiae,40,40,100
Magude,17/11/2017,M1,mud,exposure,an gambiae,39,39,100
Magude,17/11/2017,M1,mud,exposure,an gambiae,40,40,100
Magude,17/11/2017,M1,mud,control,an gambiae,40,4,10
Magude,21/11/2017,M1,concrete,exposure,an gambiae,40,40,100
Magude,21/11/2017,M1,concrete,exposure,an gambiae,40,40,100
Magude,21/11/2017,M1,concrete,exposure,an gambiae,40,40,100
Magude,21/11/2017,M1,concrete,exposure,an gambiae,40,40,100
Magude,21/11/2017,M1,concrete,control,an gambiae,40,16,40
Magude,05/12/2017,M1,mud,control,an gambiae,40,8,20
Magude,05/12/2017,M1,mud,exposure,an gambiae,40,40,100
Magude,05/12/2017,M1,mud,exposure,an gambiae,40,40,100
Magude,05/12/2017,M1,mud,exposure,an gambiae,40,40,100
Magude,05/12/2017,M1,mud,exposure,an gambiae,40,40,100
Magude,05/12/2017,M1,mud,exposure,an gambiae,40,40,100
Magude,05/12/2017,M1,mud,control,an gambiae,40,10,25
Magude,12/12/2017,M1,concrete,control,an gambiae,40,4,10
Magude,12/12/2017,M1,concrete,control,an gambiae,40,2,5
Magude,12/12/2017,M1,concrete,exposure,an gambiae,40,40,100
Magude,12/12/2017,M1,concrete,exposure,an gambiae,40,40,100
Magude,12/12/2017,M1,concrete,exposure,an gambiae,40,40,100
Magude,12/12/2017,M1,concrete,exposure,an gambiae,40,40,100
Magude,12/12/2017,M1,concrete,exposure,an gambiae,40,40,100
Magude,19/12/2017,M2,mud,control,an gambiae,40,3,7.5
Magude,19/12/2017,M2,mud,exposure,an gambiae,40,40,100
Magude,19/12/2017,M2,mud,exposure,an gambiae,40,40,100
Magude,19/12/2017,M2,mud,exposure,an gambiae,40,40,100
Magude,19/12/2017,M2,mud,exposure,an gambiae,40,40,100
Magude,29/12/2017,M2,mud,control,an gambiae,40,1,2.5
Magude,29/12/2017,M2,mud,control,an gambiae,40,0,0
Magude,29/12/2017,M2,mud,exposure,an gambiae,40,40,100
Magude,29/12/2017,M2,mud,exposure,an gambiae,40,40,100
Magude,29/12/2017,M2,mud,exposure,an gambiae,40,40,100
Magude,29/12/2017,M2,mud,exposure,an gambiae,40,40,100
Magude,29/12/2017,M2,mud,exposure,an gambiae,40,40,100
Magude,03/01/2018,M2,concrete,exposure,an gambiae,40,40,100
Magude,03/01/2018,M2,concrete,control,an gambiae,40,1,2.5
Magude,03/01/2018,M2,concrete,exposure,an gambiae,40,24,60
Magude,03/01/2018,M2,concrete,exposure,an gambiae,40,40,100
Magude,03/01/2018,M2,concrete,exposure,an gambiae,40,40,100
Magude,16/01/2018,M2,concrete,exposure,an gambiae,40,40,100
Magude,16/01/2018,M2,concrete,control,an gambiae,40,1,2.5
Magude,16/01/2018,M2,concrete,exposure,an gambiae,40,40,100
